shipment_id,carrier_name,truck_type,distance_km,weight_tons,volume_m3,delivery_time_days,priority_level,origin_country,destination_country,fuel_price_eur_l,cost_eur
1,DPD,Fridge,520,21.7,92.0,5,Standard,France,France,1.68,2983.05
2,Maersk,Fridge,106,7.2,68.5,5,Standard,Spain,Netherlands,1.64,1401.64
3,Kuehne+Nagel,Box,1648,14.7,92.3,4,Standard,Austria,Czechia,1.75,3412.53
4,Maersk,Tautliner,2433,21.3,47.4,4,Express,Poland,Czechia,1.66,5692.15
5,Maersk,Box,770,23.1,94.0,6,Standard,Portugal,France,1.67,2756.15
6,DB Schenker,Tautliner,515,12.7,49.0,6,Standard,Netherlands,Czechia,1.79,1835.29
7,Kuehne+Nagel,Tautliner,1106,16.4,24.4,2,Standard,Portugal,Italy,1.75,2580.39
8,Kuehne+Nagel,Box,1836,1.1,19.4,5,Standard,Portugal,Portugal,1.64,2304.04
9,Kuehne+Nagel,Tautliner,527,7.1,99.4,1,Standard,Italy,Netherlands,1.65,2003.52
10,Maersk,Fridge,433,7.7,36.7,5,Express,Austria,Italy,1.61,1755.04
11,DPD,Fridge,2419,3.2,20.2,3,Express,Poland,Netherlands,1.67,5237.91
12,Kuehne+Nagel,Tautliner,2466,7.7,5.8,3,Standard,Germany,Italy,1.87,3732.42
13,Maersk,Fridge,626,8.7,32.1,5,Express,Czechia,Netherlands,1.84,2585.94
14,DB Schenker,Box,1295,24.3,89.5,4,Standard,Netherlands,Czechia,1.72,3253.41
15,DPD,Fridge,1853,17.0,55.7,3,Standard,Germany,Belgium,1.82,4923.59
16,DB Schenker,Tautliner,1772,11.2,65.1,6,Express,Italy,Portugal,1.72,4274.15
17,DPD,Box,2468,24.7,92.6,2,Standard,France,France,1.84,4968.35
18,Maersk,Fridge,1655,4.7,53.7,2,Standard,France,Italy,1.65,3715.09
19,DHL,Box,2128,12.4,84.6,2,Standard,Spain,Belgium,1.65,3151.45
20,DPD,Tautliner,1754,16.5,35.8,6,Standard,Netherlands,France,1.62,2962.03
21,DB Schenker,Fridge,553,2.3,97.8,5,Standard,Germany,Poland,1.67,2288.08
22,Maersk,Box,845,18.2,12.5,3,Standard,Belgium,Czechia,1.64,1802.53
23,DPD,Box,2003,3.4,73.9,4,Standard,Netherlands,Austria,1.84,3342.58
24,DHL,Fridge,1028,4.4,67.8,6,Standard,Spain,Germany,1.67,2249.41
25,DHL,Box,947,4.8,23.2,6,Express,Belgium,Netherlands,1.75,1899.43
26,Kuehne+Nagel,Box,967,23.3,41.9,2,Standard,France,Netherlands,1.83,2634.97
27,Kuehne+Nagel,Tautliner,873,17.4,34.7,6,Express,Poland,Germany,1.8,3119.99
28,DB Schenker,Tautliner,2230,16.7,14.0,6,Express,Belgium,Belgium,1.66,4651.87
29,DPD,Tautliner,642,14.3,60.6,4,Standard,Italy,France,1.62,1569.13
30,DPD,Tautliner,421,8.0,99.4,6,Express,Spain,Italy,1.87,2688.27
31,Kuehne+Nagel,Tautliner,885,15.9,58.2,2,Standard,France,Netherlands,1.79,2867.3
32,DPD,Tautliner,639,10.8,56.8,6,Standard,Spain,Belgium,1.81,1941.29
33,DPD,Fridge,2399,4.5,8.8,5,Standard,Portugal,France,1.72,3690.61
34,DHL,Tautliner,1888,17.6,18.2,2,Express,Spain,Spain,1.67,4130.55
35,Kuehne+Nagel,Box,548,4.1,53.8,5,Standard,Poland,Italy,1.76,1543.48
36,Maersk,Fridge,589,5.6,98.6,3,Standard,Italy,Germany,1.62,1751.32
37,Kuehne+Nagel,Box,2005,20.6,88.3,3,Standard,Netherlands,Spain,1.84,4334.78
38,Maersk,Tautliner,563,16.8,37.3,4,Standard,France,Belgium,1.8,2074.84
39,DHL,Tautliner,413,16.1,56.6,6,Standard,Portugal,Czechia,1.83,1848.41
40,DB Schenker,Box,2055,11.0,57.5,2,Standard,Portugal,Austria,1.77,3968.65
41,DPD,Box,484,10.5,70.1,3,Standard,Czechia,Belgium,1.77,1882.95
42,DHL,Box,394,17.6,70.3,6,Standard,Austria,Germany,1.78,1974.32
43,DPD,Fridge,1338,18.8,80.0,1,Standard,France,Netherlands,1.84,4579.82
44,DB Schenker,Tautliner,861,13.2,7.4,1,Express,Spain,Netherlands,1.67,2378.02
45,DB Schenker,Box,1198,24.3,94.6,4,Standard,Belgium,Belgium,1.8,3506.31
46,DHL,Tautliner,2491,23.9,11.7,6,Express,Portugal,Netherlands,1.77,5861.74
47,DB Schenker,Box,1837,10.9,50.2,3,Standard,Belgium,Portugal,1.75,2907.25
48,Maersk,Tautliner,2289,20.7,92.4,5,Standard,Spain,Belgium,1.76,5081.61
49,DB Schenker,Fridge,1322,14.0,51.3,6,Standard,Germany,Portugal,1.68,3298.42
50,DPD,Tautliner,2042,13.3,11.0,1,Express,Austria,Spain,1.61,4203.32
51,DPD,Box,327,2.3,26.8,6,Express,Austria,Italy,1.83,1204.24
52,DPD,Tautliner,510,14.8,60.0,3,Standard,Belgium,Belgium,1.87,2339.89
53,DPD,Fridge,790,22.6,13.3,5,Standard,Italy,Germany,1.74,2632.28
54,Maersk,Fridge,977,19.7,45.2,2,Express,Netherlands,Czechia,1.85,4260.02
55,Kuehne+Nagel,Tautliner,886,19.9,36.3,6,Standard,Austria,Netherlands,1.77,2513.57
56,DHL,Box,2209,4.8,82.4,3,Standard,Belgium,France,1.88,3698.17
57,DPD,Fridge,1450,9.6,15.5,2,Standard,Austria,Belgium,1.75,2856.95
58,DB Schenker,Fridge,1839,6.6,69.9,1,Standard,Netherlands,Italy,1.66,3996.14
59,DPD,Tautliner,2086,8.6,43.6,2,Standard,Germany,Portugal,1.86,3870.24
60,DB Schenker,Fridge,978,14.9,60.8,1,Express,Czechia,France,1.84,4418.68
61,DB Schenker,Fridge,1707,9.8,24.5,4,Standard,Netherlands,Germany,1.72,3666.77
62,DPD,Box,1713,14.5,62.9,4,Express,France,Austria,1.85,4388.84
63,Maersk,Box,170,11.5,69.0,1,Standard,Czechia,Netherlands,1.6,1029.59
64,DB Schenker,Box,2410,7.9,11.7,5,Standard,Czechia,Germany,1.84,3595.37
65,DB Schenker,Tautliner,405,3.3,83.3,4,Standard,France,Netherlands,1.81,1676.65
66,DPD,Fridge,861,22.4,86.8,5,Standard,Spain,Spain,1.71,3871.29
67,DB Schenker,Tautliner,687,1.3,11.0,5,Standard,Belgium,Germany,1.84,1174.56
68,DB Schenker,Fridge,2221,1.0,62.3,5,Express,Netherlands,Poland,1.64,4908.14
69,DPD,Fridge,2289,20.8,61.4,3,Standard,Austria,Spain,1.66,4919.68
70,DPD,Fridge,1708,24.9,6.2,6,Standard,Czechia,Czechia,1.76,4364.0
71,DHL,Box,201,18.5,37.5,3,Standard,Poland,Austria,1.86,1439.87
72,Maersk,Tautliner,1729,1.4,97.0,6,Standard,Czechia,Belgium,1.64,3215.93
73,Maersk,Tautliner,1704,6.4,57.8,6,Standard,Germany,Portugal,1.77,2665.28
74,DB Schenker,Fridge,292,24.3,93.7,5,Express,Poland,Germany,1.83,4336.33
75,Maersk,Tautliner,1185,20.4,69.2,1,Standard,Italy,Czechia,1.82,3472.27
76,DB Schenker,Box,399,14.6,7.7,6,Standard,Czechia,Portugal,1.79,1542.01
77,DHL,Tautliner,553,6.7,12.4,4,Express,Czechia,Poland,1.88,1534.48
78,DPD,Fridge,718,1.3,73.6,2,Standard,France,Netherlands,1.74,2037.15
79,DPD,Box,736,1.5,57.7,3,Standard,France,Italy,1.86,1830.56
80,DPD,Box,2448,15.7,17.1,3,Standard,Netherlands,Czechia,1.79,3969.07
81,Maersk,Fridge,878,1.5,63.3,2,Standard,France,France,1.82,2156.48
82,DHL,Tautliner,1579,24.8,82.0,5,Express,Spain,Portugal,1.74,5059.47
83,Maersk,Fridge,2349,5.4,76.5,6,Standard,Italy,Italy,1.65,4515.26
84,Maersk,Tautliner,2449,18.1,28.4,2,Standard,Poland,Spain,1.63,4163.67
85,DHL,Tautliner,2144,4.7,29.5,5,Standard,Portugal,Belgium,1.8,3425.8
86,DHL,Box,1747,14.0,96.9,3,Standard,Belgium,Netherlands,1.71,3387.87
87,DHL,Fridge,436,2.9,89.3,2,Standard,Spain,Belgium,1.77,2390.88
88,DHL,Box,2179,19.4,35.2,6,Express,France,France,1.82,4874.44
89,DPD,Fridge,2094,15.0,83.3,1,Standard,Poland,Netherlands,1.84,5405.81
90,Kuehne+Nagel,Fridge,2107,3.1,20.4,4,Standard,Italy,Spain,1.75,3338.02
91,Kuehne+Nagel,Box,1882,21.4,23.7,4,Standard,France,Germany,1.69,3059.51
92,DHL,Fridge,1171,14.1,22.2,4,Standard,Spain,Spain,1.83,3020.09
93,Kuehne+Nagel,Fridge,2131,23.1,13.3,2,Standard,France,France,1.72,4779.36
94,Kuehne+Nagel,Tautliner,1373,23.0,86.2,6,Express,Italy,Austria,1.88,4831.24
95,DHL,Fridge,1349,23.1,60.0,5,Standard,Portugal,Austria,1.85,4251.77
96,Kuehne+Nagel,Fridge,1395,2.9,29.6,6,Standard,Austria,Netherlands,1.82,2284.01
97,Maersk,Box,427,3.9,85.6,6,Standard,Germany,Germany,1.67,1054.47
98,DB Schenker,Box,896,24.7,81.3,3,Standard,Czechia,Germany,1.71,3137.91
99,DB Schenker,Fridge,1303,12.7,14.6,4,Standard,Netherlands,Austria,1.85,2931.38
100,DHL,Tautliner,764,6.7,66.2,2,Express,Netherlands,Czechia,1.61,2807.86
101,DPD,Tautliner,1062,19.5,73.6,4,Standard,Portugal,Germany,1.83,2963.62
102,DHL,Box,1729,7.3,73.0,6,Standard,Germany,France,1.72,3051.78
103,DPD,Fridge,1493,18.5,73.7,5,Standard,Germany,Spain,1.84,4536.92
104,DB Schenker,Fridge,1368,21.1,21.1,1,Standard,Czechia,Netherlands,1.77,3643.67
105,DHL,Tautliner,1283,19.8,34.9,1,Standard,Austria,Germany,1.76,2703.06
106,Maersk,Tautliner,472,7.6,85.2,6,Standard,Austria,Germany,1.81,1837.99
